domain,policy,sample_nfe,peak_gib,median_seconds,timing_n
face,uniform,0,0.864,1.041,9
face,variable_density,0,0.867,1.229,9
face,cm_spectral_repeat_k1,5,1.242,9.557,9
face,cm_spectral_repeat_k5,25,1.244,9.819,9
face,cm_spectral_repeat_k10,50,1.244,10.442,9
face,adasense_matched,1000,3.672,12.008,9
face,ads_matched,80032,33.823,860.255,9
mri,uniform,0,0.506,0.027,24
mri,variable_density,0,0.51,0.014,24
mri,cm_spectral_repeat_k1,5,1.131,0.177,24
mri,cm_spectral_repeat_k5,25,1.135,0.823,24
mri,cm_spectral_repeat_k10,50,1.135,1.632,24
mri,adasense_matched,1000,5.574,19.952,24
mri,ads_matched,80032,29.073,2335.08,24
