domain,policy,budget,psnr,ssim,n
face,uniform,0.05,25.84,0.691,30
face,uniform,0.1,28.34,0.757,30
face,uniform,0.25,32.29,0.850,30
face,variable_density,0.05,27.82,0.746,30
face,variable_density,0.1,30.35,0.808,30
face,variable_density,0.25,34.12,0.890,30
face,cm_spectral_repeat_k1,0.05,30.96,0.842,30
face,cm_spectral_repeat_k1,0.1,32.73,0.883,30
face,cm_spectral_repeat_k1,0.25,35.46,0.925,30
face,cm_spectral_repeat_k5,0.05,31.35,0.852,30
face,cm_spectral_repeat_k5,0.1,33.45,0.899,30
face,cm_spectral_repeat_k5,0.25,37.30,0.954,30
face,cm_spectral_repeat_k10,0.05,31.38,0.853,30
face,cm_spectral_repeat_k10,0.1,33.48,0.900,30
face,cm_spectral_repeat_k10,0.25,37.31,0.953,30
face,adasense_matched,0.05,31.70,0.862,30
face,adasense_matched,0.1,33.83,0.908,30
face,adasense_matched,0.25,37.59,0.958,30
face,ads_matched,0.05,31.28,0.853,30
face,ads_matched,0.1,33.05,0.892,30
face,ads_matched,0.25,35.97,0.933,30
mri,uniform,0.05,19.67,0.347,30
mri,uniform,0.1,20.47,0.383,30
mri,uniform,0.25,25.84,0.560,30
mri,variable_density,0.05,21.43,0.391,30
mri,variable_density,0.1,25.66,0.493,30
mri,variable_density,0.25,28.14,0.611,30
mri,cm_spectral_repeat_k1,0.05,23.06,0.405,30
mri,cm_spectral_repeat_k1,0.1,25.09,0.471,30
mri,cm_spectral_repeat_k1,0.25,27.07,0.582,30
mri,cm_spectral_repeat_k5,0.05,23.22,0.408,30
mri,cm_spectral_repeat_k5,0.1,25.46,0.479,30
mri,cm_spectral_repeat_k5,0.25,27.91,0.605,30
mri,cm_spectral_repeat_k10,0.05,23.26,0.409,30
mri,cm_spectral_repeat_k10,0.1,25.49,0.480,30
mri,cm_spectral_repeat_k10,0.25,27.92,0.606,30
mri,adasense_matched,0.05,24.27,0.430,30
mri,adasense_matched,0.1,26.13,0.495,30
mri,adasense_matched,0.25,28.19,0.614,30
mri,ads_matched,0.05,23.64,0.416,30
mri,ads_matched,0.1,25.63,0.482,30
mri,ads_matched,0.25,27.90,0.605,30
