domain,unit_id,budget,policy,reconstructor,psnr,ssim,nmse,nfe,wall_seconds,peak_memory_bytes,gpu,source_record_sha256
face,celeba-hq:1014,0.05,adasense_matched,ddrm,28.74167251586914,0.7890943288803101,,1000,11.944443619810045,3943142400,NVIDIA A100-SXM4-80GB,65c81e4f4352d87a9ed01866304e4f87750f595a09a4f8f117312da067bfd6db
face,celeba-hq:1014,0.05,ads_matched,ddrm,27.883895874023438,0.7538136839866638,,80032,860.7439040080644,36316853760,NVIDIA A100-SXM4-80GB,65c81e4f4352d87a9ed01866304e4f87750f595a09a4f8f117312da067bfd6db
face,celeba-hq:1014,0.05,cm_spectral_once_k1,ddrm,27.783000946044922,0.7478342056274414,,1,2.5945582198910415,1297763328,NVIDIA A100-SXM4-80GB,65c81e4f4352d87a9ed01866304e4f87750f595a09a4f8f117312da067bfd6db
face,celeba-hq:1014,0.05,cm_spectral_repeat_k1,ddrm,27.42525863647461,0.7367072105407715,,5,9.70191416144371,1299664384,NVIDIA A100-SXM4-80GB,65c81e4f4352d87a9ed01866304e4f87750f595a09a4f8f117312da067bfd6db
face,celeba-hq:1014,0.05,cm_spectral_repeat_k10,ddrm,28.4808349609375,0.7762117981910706,,50,10.604440937750041,1302023680,NVIDIA A100-SXM4-80GB,65c81e4f4352d87a9ed01866304e4f87750f595a09a4f8f117312da067bfd6db
face,celeba-hq:1014,0.05,cm_spectral_repeat_k5,ddrm,28.43088150024414,0.7731157541275024,,25,9.939198864158243,1302023680,NVIDIA A100-SXM4-80GB,65c81e4f4352d87a9ed01866304e4f87750f595a09a4f8f117312da067bfd6db
face,celeba-hq:1014,0.05,uniform,ddrm,21.768142700195312,0.4649868309497833,,0,0.9448620402254164,927876608,NVIDIA A100-SXM4-80GB,65c81e4f4352d87a9ed01866304e4f87750f595a09a4f8f117312da067bfd6db
face,celeba-hq:1014,0.05,variable_density,ddrm,23.52582550048828,0.5475018620491028,,0,1.1014022128656507,930564096,NVIDIA A100-SXM4-80GB,65c81e4f4352d87a9ed01866304e4f87750f595a09a4f8f117312da067bfd6db
face,celeba-hq:1014,0.1,adasense_matched,ddrm,31.020687103271484,0.8652050495147705,,1000,28.00586161389947,3943142400,NVIDIA A40,ec0803aa7a584d887fac856042b2b475d9bfa001c449fd92f98d4f1c6132f4d1
face,celeba-hq:1014,0.1,ads_matched,ddrm,29.563934326171875,0.8179606795310974,,80032,2136.2644981960766,36316853760,NVIDIA A40,ec0803aa7a584d887fac856042b2b475d9bfa001c449fd92f98d4f1c6132f4d1
face,celeba-hq:1014,0.1,cm_spectral_once_k1,ddrm,29.46563720703125,0.808565080165863,,1,3.556889201980084,1331321856,NVIDIA A40,ec0803aa7a584d887fac856042b2b475d9bfa001c449fd92f98d4f1c6132f4d1
face,celeba-hq:1014,0.1,cm_spectral_repeat_k1,ddrm,29.76589584350586,0.8240231871604919,,5,11.985050087794662,1333222912,NVIDIA A40,ec0803aa7a584d887fac856042b2b475d9bfa001c449fd92f98d4f1c6132f4d1
face,celeba-hq:1014,0.1,cm_spectral_repeat_k10,ddrm,30.742633819580078,0.8554114699363708,,50,13.41852105455473,1335582208,NVIDIA A40,ec0803aa7a584d887fac856042b2b475d9bfa001c449fd92f98d4f1c6132f4d1
face,celeba-hq:1014,0.1,cm_spectral_repeat_k5,ddrm,30.760120391845703,0.856773316860199,,25,12.475660177879035,1335582208,NVIDIA A40,ec0803aa7a584d887fac856042b2b475d9bfa001c449fd92f98d4f1c6132f4d1
face,celeba-hq:1014,0.1,uniform,ddrm,23.623348236083984,0.5569315552711487,,0,1.6339345262385905,927876608,NVIDIA A40,ec0803aa7a584d887fac856042b2b475d9bfa001c449fd92f98d4f1c6132f4d1
face,celeba-hq:1014,0.1,variable_density,ddrm,26.142391204833984,0.6647740602493286,,0,1.9393301401287317,930564096,NVIDIA A40,ec0803aa7a584d887fac856042b2b475d9bfa001c449fd92f98d4f1c6132f4d1
face,celeba-hq:1014,0.25,adasense_matched,ddrm,35.0248908996582,0.9446625113487244,,1000,12.324806978926063,3943142400,NVIDIA A100-SXM4-80GB,66fd60b819186b3c042776434f9d3068c3b48003569683f981f18785968a09b2
face,celeba-hq:1014,0.25,ads_matched,ddrm,32.733524322509766,0.9006045460700989,,80032,861.4707589936443,36316853760,NVIDIA A100-SXM4-80GB,66fd60b819186b3c042776434f9d3068c3b48003569683f981f18785968a09b2
face,celeba-hq:1014,0.25,cm_spectral_once_k1,ddrm,31.548839569091797,0.8610213994979858,,1,2.958077640272677,1297763328,NVIDIA A100-SXM4-80GB,66fd60b819186b3c042776434f9d3068c3b48003569683f981f18785968a09b2
face,celeba-hq:1014,0.25,cm_spectral_repeat_k1,ddrm,32.66169357299805,0.8976593017578125,,5,9.91222152672708,1299664384,NVIDIA A100-SXM4-80GB,66fd60b819186b3c042776434f9d3068c3b48003569683f981f18785968a09b2
face,celeba-hq:1014,0.25,cm_spectral_repeat_k10,ddrm,34.74156951904297,0.9386730790138245,,50,10.816563186701387,1302023680,NVIDIA A100-SXM4-80GB,66fd60b819186b3c042776434f9d3068c3b48003569683f981f18785968a09b2
face,celeba-hq:1014,0.25,cm_spectral_repeat_k5,ddrm,34.748207092285156,0.9392251372337341,,25,10.480426595080644,1302023680,NVIDIA A100-SXM4-80GB,66fd60b819186b3c042776434f9d3068c3b48003569683f981f18785968a09b2
face,celeba-hq:1014,0.25,uniform,ddrm,28.807979583740234,0.7649238109588623,,0,1.3703785510733724,927876608,NVIDIA A100-SXM4-80GB,66fd60b819186b3c042776434f9d3068c3b48003569683f981f18785968a09b2
face,celeba-hq:1014,0.25,variable_density,ddrm,31.154010772705078,0.845321536064148,,0,1.4554290240630507,930564096,NVIDIA A100-SXM4-80GB,66fd60b819186b3c042776434f9d3068c3b48003569683f981f18785968a09b2
face,celeba-hq:1044,0.05,adasense_matched,ddrm,33.52671432495117,0.8865041732788086,,1000,28.14815161190927,3943142400,NVIDIA A40,ef090d2c3c52296ccabae4ba3c489707bf651685deee743505c03e2793432523
face,celeba-hq:1044,0.05,ads_matched,ddrm,33.27009201049805,0.8785760998725891,,80032,2137.8132844064385,36316853760,NVIDIA A40,ef090d2c3c52296ccabae4ba3c489707bf651685deee743505c03e2793432523
face,celeba-hq:1044,0.05,cm_spectral_once_k1,ddrm,33.06145477294922,0.8718624711036682,,1,3.511094002984464,1331321856,NVIDIA A40,ef090d2c3c52296ccabae4ba3c489707bf651685deee743505c03e2793432523
face,celeba-hq:1044,0.05,cm_spectral_repeat_k1,ddrm,32.7779655456543,0.8677528500556946,,5,11.951670142356306,1333222912,NVIDIA A40,ef090d2c3c52296ccabae4ba3c489707bf651685deee743505c03e2793432523
face,celeba-hq:1044,0.05,cm_spectral_repeat_k10,ddrm,33.34880828857422,0.8788322806358337,,50,13.25667981011793,1335582208,NVIDIA A40,ef090d2c3c52296ccabae4ba3c489707bf651685deee743505c03e2793432523
face,celeba-hq:1044,0.05,cm_spectral_repeat_k5,ddrm,33.26881790161133,0.8767855167388916,,25,12.537392317317426,1335582208,NVIDIA A40,ef090d2c3c52296ccabae4ba3c489707bf651685deee743505c03e2793432523
face,celeba-hq:1044,0.05,uniform,ddrm,28.104225158691406,0.7777270674705505,,0,1.546460079960525,927876608,NVIDIA A40,ef090d2c3c52296ccabae4ba3c489707bf651685deee743505c03e2793432523
face,celeba-hq:1044,0.05,variable_density,ddrm,29.74469757080078,0.8070288300514221,,0,1.8649873710237443,930564096,NVIDIA A40,ef090d2c3c52296ccabae4ba3c489707bf651685deee743505c03e2793432523
face,celeba-hq:1044,0.1,adasense_matched,ddrm,35.748016357421875,0.9249517917633057,,1000,12.837688290979713,3943142400,NVIDIA A100 80GB PCIe,6af44d08482dd2128439618f9a6b592634aa7e0d131e2829babe31eecb845481
face,celeba-hq:1044,0.1,ads_matched,ddrm,35.31884002685547,0.9163427948951721,,80032,934.537351924926,36316853760,NVIDIA A100 80GB PCIe,6af44d08482dd2128439618f9a6b592634aa7e0d131e2829babe31eecb845481
face,celeba-hq:1044,0.1,cm_spectral_once_k1,ddrm,34.37836456298828,0.8965849280357361,,1,2.6436209809035063,1297763328,NVIDIA A100 80GB PCIe,6af44d08482dd2128439618f9a6b592634aa7e0d131e2829babe31eecb845481
face,celeba-hq:1044,0.1,cm_spectral_repeat_k1,ddrm,34.599586486816406,0.9015326499938965,,5,9.44410038832575,1299664384,NVIDIA A100 80GB PCIe,6af44d08482dd2128439618f9a6b592634aa7e0d131e2829babe31eecb845481
face,celeba-hq:1044,0.1,cm_spectral_repeat_k10,ddrm,35.45316696166992,0.9161544442176819,,50,10.373689830768853,1302023680,NVIDIA A100 80GB PCIe,6af44d08482dd2128439618f9a6b592634aa7e0d131e2829babe31eecb845481
